Corridor #,Corridor Description,Corridor Num and Description,FY,Clean Corridor,Type,Detailed Type,Midpoint times,Side of street,SupDistrict,DPW Zone,Representative Street Segment,CNN (Route ID),Evaluation date,Evaluator name,Inspector,"11  Score (10, 20, or 30 score)","21  Litter (10, 20, or 30 score)","22  Grime, Leaks, Spills (% of sidewalk w/out)","24  Illegal Dumping (Y/N, where Y=none)","251  Feces, Needles, Condoms (Y/N, where Y=none)","252  Broken Glass (Y/N, where Y=none)",26  Odors (DPW),27  Odors (nonDPW),31  Public (DPW),32 Public (nonDPW),33  Private (Please indicate nearest address on attached work s,"34 Sidewalk (# on sidewalk, preiously 23)",Total # Trash Receptacles,41  Fullness,42  Cleanliness of trash receptacles,43  Cleanliness around trash receptacles,44  Painting,45  Structural integrity & function,46  Doors,Total # Trees,51  Cleanliness,52  Tree Appearance,53  Weediness,54  Clearance,11 pass,21  Pass,22  Pass,31  Pass,32 Pass,33  Pass,34 Pass,41  Pass,42  Pass,43  Pass,44  Pass,45  Pass,46  Pass,51  Pass,52  Pass,53 Pass,54  Pass,Longitude,Latitude,Location,Priority
,Campbell Ave -- San Bruno to Delta,,2017-18,,Residential,Residential,Mon 12PM to 5PM,L,10,E,Campbell Ave  :  Holyoke St  -  Alpha St,3642000,5/14/2018 0:00,Jordan,JBR,1,1,0.9685,1,1,1,1,1,0,1.266666667,0,0.446031746,0,,,,,,,7,1,1,1,1,1,1,1,1,0,1,0,,,,,,,1,1,1,1,-122.4035066,37.71435723,,Regular
28,Geary A: Arguello - 7th,#28 Geary A: Arguello - 7th,2017-18,Clean Corridor,Commercial,Commercial,Fri 12PM to 5PM,R,1,C,Geary Blvd  :  Arguello Blvd  -  02nd Ave,6057101,5/18/2018 0:00,Jordan,JBR,1.5,1.166666667,0.96,1,1,1,1,1,0,7,0,1.583333333,2,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,-122.4588587,37.78125706,,Regular
,Cortland Ave -- Folsom to Bradford,,2017-18,,Residential,Residential,"Thur 1st, 3rd 8AM to 10AM",L,9,D,Cortland Ave  :  Prentiss St  -  Nevada St,4433000,6/7/2018 0:00,Jordan,JBR,1,1.071428571,0.957142857,1,1,1,1,1,0,2,0,0.214285714,0,,,,,,,12,0.9,1,1,1,1,1,1,1,0,1,0,,,,,,,1,1,1,1,-122.4119916,37.73971001,,Regular
,Lyon St -- Hayes to Turk,,2017-18,,Residential,Residential,Mon 8AM to 12PM,L,5,C,Lyon St  :  Grove St  -  Fulton St,8558000,6/25/2018 0:00,Jordan,JBR,1.2,1,0.967,1,1,1,1,1,0,3.2,0,0.5,0,,,,,,,35,0.821111111,1,1,1,1,1,1,1,0,1,0,,,,,,,0,1,1,1,-122.4429454,37.77529553,,Regular
,Eucalyptus Dr -- 19th to 23rd Ave,,2017-18,,Residential,Residential,"Tue 1st, 3rd 10AM to 12PM",R,7,F,Eucalyptus Dr  :  19th Ave  -  20th Ave,5269000,5/15/2018 0:00,Jordan,JBR,1,1,0.972,1,1,1,1,1,0,1,0,0.1,0,,,,,,,0,,,,,1,1,1,1,0,1,0,,,,,,,,,,,-122.4748566,37.73106575,,Regular
,25th Ave -- Lawton to Ortega,,2017-18,,Residential,Residential,"Thu 2nd, 4th  8AM to 10AM",L,4,F,25th Ave  :  Lawton St  -  Moraga St,1385000,6/14/2018 0:00,Jordan,JBR,1,1,0.972666667,1,1,1,1,1,0,0.733333333,0,0.066666667,0,,,,,,,26,1,1,1,1,1,1,1,1,0,1,0,,,,,,,1,1,1,1,-122.4831615,37.75768385,,Priority
,Kirkham St -- 30th to 35th Ave,,2017-18,,Residential,Residential,"Fri 2nd, 4th 9AM to 11AM",R,4,F,Kirkham St  :  34th Ave  -  35th Ave,7872000,6/8/2018 0:00,Jordan,JBR,1,1.2,0.956,1,1,1,1,1,0,1.8,0,0.2,0,,,,,,,7,1,1,1,1,1,1,1,1,0,1,0,,,,,,,1,1,1,1,-122.4929369,37.75912292,,Priority
,03rd Ave: Hugo St - Irving St,,2017-18,,Residential,Residential,"Fri 2nd, 4th 11AM to 1PM",L,5,C,03rd Ave  :  Hugo St  -  Irving St,161000,6/8/2018 0:00,Jordan,JBR,1,1,0.961944444,1,1,1,1,1,0,1.805555556,0,0.111111111,0,,,,,,,16,1,1,1,1,1,1,1,1,0,1,0,,,,,,,1,1,1,1,-122.459953,37.76525678,,Priority
89,6th St: Market - Folsom,#89 6th St: Market - Folsom,2017-18,Clean Corridor,Commercial,Commercial,Wed 12PM to 5PM,L,6,B,06th St  :  Market St  -  Stevenson St,326000,5/23/2018 0:00,Jordan,JBR,1,1,0.952777778,1,1,1,1,1,0.111111111,3.111111111,0,0.111111111,0,,,,,,,22,1,1,1,1,1,1,1,0,0,1,0,,,,,,,1,1,1,1,-122.410292,37.78223058,,Regular
96,Fillmore B: O'Farrell,#96 Fillmore B: O'Farrell,2017-18,,Commercial,Residential/Commercial,Mon 8AM to 12PM,L,5,C,Ofarrell St  :  Fillmore St  -  Steiner St,9738000,6/11/2018 0:00,Jordan,JBR,1,1,0.98,1,1,1,1,1,0,1.25,0,0,0,,,,,,,9,0.777777778,1,1,1,1,1,1,1,0,1,1,,,,,,,0,1,1,1,-122.4327062,37.78329259,,Priority
48,3rd St E: Oakdale - Williams,#48 3rd St E: Oakdale - Williams,2017-18,Clean Corridor,Commercial,Commercial,Wed 12PM to 5PM,L,10,E,03rd St  :  Oakdale Ave  -  Palou Ave,212101,5/23/2018 0:00,Jordan,JBR,1,1,0.958571429,1,1,1,1,1,0,1.642857143,0,0.071428571,7,1,1,1,1,1,1,34,0.930612245,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,-122.3906938,37.73479736,,Regular
5,24th B: Folsom - Valencia,#5 24th B: Folsom - Valencia,2017-18,Clean Corridor,Commercial,Commercial,Thu 12PM to 5PM,L,9,D,24th St  :  Folsom St  -  Shotwell St,1340000,6/21/2018 0:00,Jordan,JBR,1.4,1.2,0.956,1,1,1,1,1,0.5,8.1,0,1.5,8,1,1,1,1,1,1,32,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,-122.414086,37.75250607,,Regular
,Bush St -- Mason to Larkin,,2017-18,,Residential,Residential,Mon 8AM to 12PM,L,3,A,Bush St  :  Jones St  -  Leavenworth St,3440000,6/4/2018 0:00,Jordan,JBR,1.8,1.75,0.955,1,1,1,1,1,0,4.55,0,0.55,0,,,,,,,18,0.746666667,1,1,1,1,1,1,1,0,1,0,,,,,,,0,1,1,1,-122.4137284,37.78952932,,Priority
,Silliman St -- Brussels to Bowdoin,,2017-18,,Residential,Residential,Fri 12PM to 5PM,L,9,D,Silliman St  :  Hamilton St  -  Bowdoin St,11879000,5/11/2018 0:00,Jordan,JBR,1,1,0.966,1,1,1,1,1,0,0.666666667,0,0.166666667,0,,,,,,,28,0.96,1,1,1,1,1,1,1,0,1,0,,,,,,,1,1,1,1,-122.4110145,37.72968772,,Regular
56,Fremont,#56 Fremont,2017-18,,Commercial,Commercial,Tue 12PM to 5PM,R,6,B,Fremont St  :  Mission St  -  Transbay Hump,5861001,6/5/2018 0:00,Jordan,JBR,1,1,0.973,1,1,1,1,1,0,0.5,0,0,0,,,,,,,4,1,1,1,1,1,1,1,1,0,1,1,,,,,,,1,1,1,1,-122.3966897,37.79046107,,Priority
71,Van Ness 2: 22nd - 18th,#71 Van Ness 2: 22nd - 18th,2017-18,Clean Corridor,Commercial,Residential,Fri 12PM to 5PM,L,9,D,South Van Ness Ave  :  18th St  -  19th St,12025000,6/15/2018 0:00,Jordan,JBR,1.1875,1.5,0.959375,1,1,1,1,1,0,3.0625,0,0.5,2,1,1,1,1,1,1,54,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,-122.4171789,37.76196753,,Priority
38,Church St: Duboce - 18th,#38 Church St: Duboce - 18th,2017-18,Clean Corridor,Commercial,Public,Thu 12PM to 5PM,R,8,D,18th St  :  Dolores St  -  Church St,887000,6/14/2018 0:00,Jordan,JBR,1.3,1.20625,0.9635,1,1,1,1,1,0,5.44375,0,0.71875,8,1,1,1,1,1,1,69,0.933897243,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,-122.4260765,37.76142713,,Priority
,Goettingen St -- Ordway to Campbell,,2017-18,,Residential,Residential,"Tue 12PM to 5PM, Wed 8AM to 12PM",R,10,E,Goettingen St  :  Wilde Ave  -  Alpha St,6246000,6/5/2018 0:00,Jordan,JBR,1,1.083333333,0.9775,1,1,1,1,1,0,1,0,0.083333333,0,,,,,,,15,1,1,1,1,1,1,1,1,0,1,0,,,,,,,1,1,1,1,-122.4021212,37.7161345,,Priority
,Prague St -- Geneva to Pope,,2017-18,,Residential,Residential,Mon 8AM to 12PM,R,11,E,Prague St  :  Drake St  -  Curtis St,10737000,5/14/2018 0:00,Jordan,JBR,1.035714286,1.035714286,0.970238095,1,1,1,1,1,0,1.5,0,0.047619048,0,,,,,,,28,0.944444444,1,1,1,1,1,1,1,0,1,0,,,,,,,1,1,1,1,-122.4366877,37.71002343,,Regular
20,West Portal: Ulloa - 15th Ave,#20 West Portal: Ulloa - 15th Ave,2017-18,Clean Corridor,Commercial,Commercial,Fri 12PM to 5PM,L,7,F,West Portal Ave  :  Ulloa St  -  Vicente St,13577101,6/22/2018 0:00,Jordan,JBR,1,1,0.972,1,1,1,1,1,0,1.895238095,0,0,5,1,1,1,1,1,1,60,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-122.465829,37.74089198,,Regular
95,Fillmore A: along Sutter,#95 Fillmore A: along Sutter,2017-18,,Commercial,Residential,Thu 12PM to 5PM,L,5,C,Sutter St  :  Laguna St  -  Buchanan St,12335000,5/17/2018 0:00,Jordan,JBR,1.375,1,0.9685,1,1,1,1,1,0,2.108333333,0,0,4,1,1,1,1,1,1,44,0.930555556,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,-122.4283356,37.78671266,,Regular
51,Noriega B: 30th - 33rd,#51 Noriega B: 30th - 33rd,2017-18,Clean Corridor,Commercial,Commercial,Thu 12PM to 5PM,R,4,F,Noriega St  :  30th Ave  -  31st Ave,9664000,6/28/2018 0:00,Jordan,JBR,1.5,1.166666667,0.948333333,1,1,1,1,1,0,1.5,0,0,4,1,1,1,1,1,1,10,0.8,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,-122.4882641,37.7537209,,Regular
,Liberty St -- Guerrero to Rayburn,,2017-18,,Residential,Residential,Mon 8AM to 12PM,L,8,D,Liberty St  :  Sanchez St  -  Sanchez St,8325000,6/18/2018 0:00,Jordan,JBR,1,1,0.968333333,1,1,1,1,1,0,0.466666667,0,0.1,0,,,,,,,51,0.958333333,0.96875,1,1,1,1,1,1,0,1,0,,,,,,,1,1,1,1,-122.4302602,37.75715468,,Priority
78,Van Ness 9: Greenwich - North Point,#78 Van Ness 9: Greenwich - North Point,2017-18,Clean Corridor,Commercial,Residential,Fri 12PM to 5PM,R,2,A,Van Ness Ave  :  Greenwich St  -  Lombard St,13169101,6/1/2018 0:00,Jordan,JBR,1.1,1.2,0.957,1,1,1,1,1,0,3.5,0,0.6,4,1,1,1,1,1,1,22,0.786666667,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,-122.4243587,37.80041503,,Priority
,Judah St -- 10th to 15th Ave,,2017-18,,Residential,Residential,Fri 12PM to 5PM,L,5,C,Judah St  :  10th Ave  -  11th Ave,7645201,5/21/2018 0:00,Jordan,JBR,1.2,1,0.969,1,1,1,1,1,0,1,0,0.2,0,,,,,,,9,1,1,1,1,1,1,1,1,0,1,0,,,,,,,1,1,1,1,-122.4672531,37.76212798,,Regular
97,"Fillmore C: Geary, Scott - Webster","#97 Fillmore C: Geary, Scott - Webster",2017-18,,Commercial,Commercial,Thu 12PM to 5PM,R,5,C,Geary Blvd  :  Webster St  -  Fillmore St,6041102,6/7/2018 0:00,Jordan,JBR,1.25,1,0.961321429,1,1,1,1,1,0,8.325,0,0.725,2,1,1,1,1,1,1,45,0.675925926,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,-122.4312049,37.78456824,,Regular
,Douglass St -- Market to 20th St,,2017-18,,Residential,Residential,Mon 8AM to 12PM,L,8,D,Douglass St  :  19th St  -  Carson St,4945000,6/25/2018 0:00,Jordan,JBR,1,1,0.973333333,1,1,1,1,1,0,1,0,0.083333333,0,,,,,,,36,1,0.979166667,1,1,1,1,1,1,0,1,0,,,,,,,1,1,1,1,-122.4391673,37.75902775,,Regular
,Peru Ave -- Lisbon to Athens,,2017-18,,Residential,Residential,Mon 8AM to 12PM,L,11,E,Peru Ave  :  Lisbon St  -  Madrid St,10376000,6/4/2018 0:00,Jordan,JBR,1,1,0.958,1,1,1,1,1,0,1,0,0,0,,,,,,,22,0.96,1,1,1,1,1,1,1,0,1,1,,,,,,,1,1,1,1,-122.428903,37.72822171,,Priority
,24th Ave -- Traval to Wawona,,2017-18,,Residential,Residential,"Tues 1st, 3rd  8AM to 10AM",L,4,F,24th Ave  :  Vicente St  -  Wawona St,1312000,5/15/2018 0:00,Jordan,JBR,1,1,0.972,1,1,1,1,1,0,1.733333333,0,0.2,0,,,,,,,45,0.875,1,1,1,1,1,1,1,0,1,0,,,,,,,0,1,1,1,-122.4807868,37.73908876,,Regular
,26th Ave -- Seacliff to California,,2017-18,,Residential,Residential,"Mon 1st, 3rd 9AM to 11AM",L,1,C,26th Ave  :  Lake St  -  California St,1470000,5/21/2018 0:00,Jordan,JBR,1,1.1,0.9785,1,1,1,1,1,0,0.45,0,0.225,0,,,,,,,30,1,1,1,1,1,1,1,1,0,1,0,,,,,,,1,1,1,1,-122.4862238,37.78569713,,Regular
,Missouri St -- Mariposa to 22nd St,,2017-18,,Residential,Residential,Thurs 12PM to 5pm,L,10,E,Missouri St  :  Mariposa St  -  18th St,9209000,6/14/2018 0:00,Jordan,JBR,1,1,0.963333333,1,1,1,1,1,0,2.19,0,0,0,,,,,,,45,1,1,1,1,1,1,1,1,0,1,1,,,,,,,1,1,1,1,-122.3966445,37.76385062,,Regular
56,Fremont,#56 Fremont,2015-16,,Commercial,Commercial,Tue 12PM to 5PM,R,6,B,Fremont St  :  Mission St  -  Transbay Hump,5861001,3/1/2016 0:00,CONSTRUCTION,JBR,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1,1,,,,,,,,,,,-122.3966897,37.79046107,,Regular
21,Glen Park: Diamond - Chenery - San Jose,#21 Glen Park: Diamond - Chenery - San Jose,2017-18,Clean Corridor,Commercial,Commercial,Wed 12PM to 5PM,L,8,D,Diamond St  :  Chenery St  -  Wilder St,4770000,5/16/2018 0:00,Jordan,JBR,1,1.214285714,0.964761905,1,1,1,1,1,0,1.761904762,0,0.190476191,2,1,1,1,1,1,1,21,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,-122.4338791,37.73450782,,Regular
27,Leland Avenue - Bayshore to Cora,#27 Leland Avenue - Bayshore to Cora,2017-18,Clean Corridor,Commercial,Commercial,Thu 12PM to 5PM,L,10,E,Leland Ave  :  Bay Shore Blvd  -  Desmond St,8292000,6/21/2018 0:00,Jordan,JBR,1.066666667,1.366666667,0.962666667,1,1,1,1,1,0,1,0,0.1,1,1,1,1,1,1,1,39,0.975,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,-122.4036501,37.71118857,,Priority
70,Van Ness 1: Cesar Chavez - 22nd,#70 Van Ness 1: Cesar Chavez - 22nd,2017-18,Clean Corridor,Commercial,Residential,Fri 12PM to 5PM,L,9,D,South Van Ness Ave  :  22nd St  -  23rd St,12029000,6/15/2018 0:00,Jordan,JBR,1.15,1.5,0.961,1,1,1,1,1,0,1.75,0.75,0.45,2,1,1,1,1,1,1,55,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,-122.4165666,37.75556828,,Regular
,Webster St -- Bromley Pl to Green,,2013-14,,Residential,Residential,"Mon 1st, 3rd  9AM to 11AM",L,2,A,Webster St  :  Vallejo St  -  Green St,13553000,,,JBR,2.55,1.0625,0.98,1,1,1,1,1,0,0,0,0.15,,,,,,,,,0.75,1,1,1,0,1,1,1,1,1,0,,,,,,,0,1,1,1,-122.4334691,37.79543518,,Regular
55,Natoma: 2nd - Fremont,#55 Natoma: 2nd - Fremont,2014-15,Clean Corridor,Commercial,Public/Commercial,Mon 8AM to 12PM,R,6,B,Natoma St  :  Fremont St  -  01st St,9506000,6/29/2015 0:00,Saul,JBR,1.25,1.625,0.92625,1,0,0,1,0,0,1.25,3.75,0,2,1,1,1,1,1,1,13,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,-122.3956851,37.78966045,,Regular
,Eucalyptus Dr -- 19th to 23rd Ave,,2015-16,,Residential,Residential,"Tue 1st, 3rd 10AM to 12PM",R,7,F,Eucalyptus Dr  :  19th Ave  -  20th Ave,5269000,7/7/2015 0:00,Saul,JBR,1.133333333,1.333333333,0.906333333,1,1,0,1,1,0,0.433333333,0,0,0,,,,,,,0,,,,,1,1,1,1,0,1,1,,,,,,,,,,,-122.4748566,37.73106575,,Regular
,26th Ave -- Seacliff to California,,2015-16,,Residential,Residential,"Mon 1st, 3rd 9AM to 11AM",L,1,C,26th Ave  :  Lake St  -  California St,1470000,7/6/2015 0:00,Saul,JBR,1,1.166666667,0.918333333,0,0,0,1,1,0,0.791666667,0,0,0,,,,,,,34,1,0.941666667,0.866666667,0.983333333,1,1,1,1,0,1,1,,,,,,,1,1,0,1,-122.4862238,37.78569713,,Regular
13,Haight (Upper): Stanyan - Central,#13 Haight (Upper): Stanyan - Central,2015-16,Clean Corridor,Commercial,Public/Commercial,Tue 12PM to 5PM,R,5,C,Haight St  :  Central Ave  -  Masonic Ave,6617000,7/7/2015 0:00,Saul,JBR,2.295238095,2.771428571,0.868190476,1,0,0,1,1,0.133333333,4.295238095,1.457142857,1.285714286,7,1,0.7,0.6,1,1,1,43,0.433266733,0.967032967,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,-122.4436491,37.77042637,,Regular
17,Ocean B: Capitol - Manor,#17 Ocean B: Capitol - Manor,2015-16,Clean Corridor,Commercial,Commercial,Mon 12PM to 5PM,L,7,F,Ocean Ave  :  Capitol Ave  -  Faxon Ave,9827101,7/6/2015 0:00,Saul,JBR,1.208333333,1.46875,0.905833333,1,1,1,1,1,0,0.5,0.083333333,0.041666667,4,0.833333333,1,1,1,1,1,44,0.775446429,0.982142857,0.9375,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,-122.4592128,37.72453317,,Regular
102,Fillmore H: along Post,#102 Fillmore H: along Post,2015-16,,Commercial,Commercial,Tue 12PM to 5PM,L,5,C,Post St  :  Buchanan St  -  Webster St,10645000,7/7/2015 0:00,Saul,JBR,1.2,1.96,0.9189,1,1,0,1,1,0.12,0.39,0,0.1,3,1,1,1,1,1,1,50,0.607692308,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,-122.4297826,37.78556385,,Regular
16,Ocean A: Phelan - Capitol,#16 Ocean A: Phelan - Capitol,2015-16,Clean Corridor,Commercial,Public/Commercial,Mon 12PM to 5PM,L,11,E,Ocean Ave  :  Geneva Ave  -  Harold Ave,9818101,7/6/2015 0:00,Saul,JBR,1.041666667,1.4375,0.88375,1,1,1,1,1,0,1.354166667,0.3125,0.125,3,1,1,1,1,1,1,38,0.79829932,0.935147392,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,-122.4523316,37.72308024,,Regular
,10th Ave -- Lawton to Quintara,,2017-18,,Residential,Residential,"Tue 2nd, 4th 8AM to 10AM",R,7,F,10th Ave  :  Noriega St  -  Ortega St,476000,9/26/2017 0:00,Jordan,JBR,1,1,0.9668,1,0,1,1,1,0,0,0,0,0,,,,,,,50,0.95,1,1,1,1,1,1,1,1,1,1,,,,,,,1,1,1,1,-122.4667299,37.75466792,,Regular
,Ulloa St -- 37th to 42nd Ave,,2017-18,,Residential,Residential,"Tue 1st, 3rd 12PM to 2PM",R,4,F,Ulloa St  :  37th Ave  -  38th Ave,12815000,1/2/2018 0:00,Jordan,JBR,1,1.2,0.954,1,1,1,1,1,0,0,0,0,0,,,,,,,8,0.875,1,1,1,1,1,1,1,1,1,1,,,,,,,0,1,1,1,-122.4948497,37.74033261,,Regular
,Webster St -- Bromley Pl to Green,,2016-17,,Residential,Residential,"Mon 1st, 3rd  9AM to 11AM",L,2,A,Webster St  :  Vallejo St  -  Green St,13553000,3/13/2017 0:00,Jordan,JBR,1,1.083333333,0.967916667,1,1,1,1,1,0,1.125,0,0,0,,,,,,,12,1,1,1,1,1,1,1,1,0,1,1,,,,,,,1,1,1,1,-122.4334691,37.79543518,,Regular
,Clayton St -- 17th St to Market,,2017-18,,Residential,Residential,Mon 8AM to 12PM,R,8,D,Clayton St  :  Twin Peaks Blvd  -  Deming St,4139000,7/10/2017 0:00,Jordan,JBR,1,1,0.962,1,1,1,1,1,0,0.56,0,0.12,0,,,,,,,21,1,1,1,1,1,1,1,1,0,1,0,,,,,,,1,1,1,1,-122.4464336,37.76100672,,Regular
,Cabrillo St -- 27th to 32nd Ave,,2013-14,,Residential,Residential,"Thur 1st, 3rd 12PM to 2PM",R,1,C,Cabrillo St  :  27th Ave  -  28th Ave,3494000,,,JBR,2.1,1.3,1,0,0,1,1,1,0,0.5,0,0.2,,,,,,,,,0.92,1,1,1,0,1,1,1,0,1,0,,,,,,,1,1,1,1,-122.4864686,37.77433877,,Regular
82,Mission H: 5th-11th,#82 Mission H: 5th-11th,2016-17,Clean Corridor,Commercial,Public/Commercial,Mon 12PM to 5PM,L,6,B,Mission St  :  05th St  -  Mint St,9097000,2/27/2017 0:00,Jordan,JBR,1.167142857,1.138571429,0.9667,1,1,1,1,1,0.07,4.387857143,1.09,0.358571429,8,1,1,1,1,1,1,54,0.822222222,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,-122.4064794,37.78273164,,Regular
